,file,start_time,end_time,participant,ground_truth,ground_truth_cleaned,Whisper_large
14218,D0066_A,1260.83,1274.98,66.0,然后是回到家乡的话呢，它是类似于做更全面的一种I/b做I T岗就什么都可能会去做这样子，不是很明确什么技术方向。,然后是回到家乡的话呢，它是类似于做更全面的一种I做I T岗就什么都可能会去做这样子，不是很明确什么技术方向。,然后是回到家乡的话它是类似于做更全面的一种IT搞就什么都可能会去做这样子不是很明确什么技术方向
6679,D0032_A,820.83,828.14,32.0,还是/p[还是]相对比较友好的，他也不会说刻意说你，哎你[你]现在就有这个毛病怎么怎么样的，但是。,还是相对比较友好的，他也不会说刻意说你，哎你现在就有这个毛病怎么怎么样的，但是。,还是还是相对比较友好他也不会说可以说你哎你现在就有这个毛病怎么怎么样但是
6657,D0032_A,647.7,651.32,32.0,这个语言方面的培养啊，包括这个陪伴相对会少一些。,这个语言方面的培养啊，包括这个陪伴相对会少一些。,这个语言方面的培养包括这个陪伴相对会少一些
5300,D0027_A,579.13,591.27,27.0,直接就回家了，我也没有参加什么，就是他体检的时候也没有考这个口不口吃这一项，也没有让你念一段文字什么的，这个事儿就这么过去了，嗯/i。,直接就回家了，我也没有参加什么，就是他体检的时候也没有考这个口不口吃这一项，也没有让你念一段文字什么的，这个事儿就这么过去了，。,直接就回家了我也没有参加什么就是他体检的时候也没有考这个考不考试这一项也没有让你念一段文字什么的这个事就这么过去了
12170,D0057_A,270.29,275.29,57.0,然后但是<overlap>他[他]论文没有出多久就被证伪了，在他。,然后但是<overlap>他论文没有出多久就被证伪了，在他。,然后但是他他论文没有出多久就被证伪了在他
1142,D0006_A,780.79,791.44,6.0,嗯/i，有[有有]，但[但]是我们会非常，对非常那种一个正[正正]式吧，就是会跟他。,，有，但是我们会非常，对非常那种一个正式吧，就是会跟他。,"有有有,但是我們會非常正式吧,就是會跟他"
5158,D0026_A,1585.7559158091306,1595.26,26.0,拒/b绝但有时也会出现不得不给客户打电话的情况，然后我当时呃/i是因为我同事想在旁边指/b[指]导我怎么跟[跟跟]他们打。,拒绝但有时也会出现不得不给客户打电话的情况，然后我当时是因为我同事想在旁边指导我怎么跟他们打。,但有時也會出現不得不給客戶打電話的情況然後我當時是因為我同事想在旁邊指導我怎麼跟他們打
6389,D0031_A,1436.89,1438.1,31.0,呃/i/p。,。,呃
12889,D0060_A,265.39,274.8,60.0,呃/i用一种那个别样的眼光，就是估计他那个心里*就想，咦这个[这个]医生怎么[怎么怎么怎么]说话还结巴。,用一种那个别样的眼光，就是估计他那个心里*就想，咦这个医生怎么说话还结巴。,用一种别样的眼光就是估计他这个心里都就想这个医生怎么说话还结巴
7118,D0034_A,631.69,642.47,34.0,然后我呢给相对于其他人就是/p背单词背课文的能/b力就会差非常多。,然后我呢给相对于其他人就是背单词背课文的能力就会差非常多。,然后我呢给相对于其他人就是背单词背课文的能力就会差非常多
11407,D0053_A,2293.26,2300.05,53.0,嗯/i然后/p嗯/i特别是现在，我们公司有个股东，他跟他哥哥都有点口吃。,然后特别是现在，我们公司有个股东，他跟他哥哥都有点口吃。,然后特别是现在我们公司有个股东他跟他哥哥都有点口齿
3907,D0020_A,862.71,871.07,20.0,我估计他们听的也[也]很难受，所以/p在那种环境上面是压力特别大的。,我估计他们听的也很难受，所以在那种环境上面是压力特别大的。,我估计他们听的也很难受所以在那种环境上面是压力特别大的
8751,D0041_A,50.71,63.67,41.0,啊/i我还有我日常[我日常]，嗯/i我日常的工作内容就是/p，嗯/i接诊各种类型的，嗯/i这种颈肩腰腿痛的病人。,我还有我日常，我日常的工作内容就是，接诊各种类型的，这种颈肩腰腿痛的病人。,我日常的工作内容就是接诊各种类型的这种颈尖腰腿痛的病人
10040,D0047_A,950.53,952.16,47.0,那需要付费吗？,那需要付费吗？, começar後退 Now
14493,D0067_A,2196.62,2203.12,67.0,就[就]算以前会有一些吧我估计他现在嗯/i现在也差不多吧。,就算以前会有一些吧我估计他现在现在也差不多吧。,就就算以前会有一些我估计他现在嗯现在也差不多了
13840,D0064_A,775.76,783.81,64.0,呃/i体[体]悟，我就觉得我现在嗯/i/p没有因为口吃而[而/r]有太多的心理的负担或者是。,体悟，我就觉得我现在没有因为口吃而有太多的心理的负担或者是。,體悟 我就覺得我現在沒有因為口吃而有太多的心理的負擔或者是
8002,D0038_A,64.41,67.42,38.0,然后/p散步一个小时到三个小时吧。,然后散步一个小时到三个小时吧。,然后上布一个小时到三个小时吧
8432,D0039_A,757.6,762.48,39.0,啊，但是我倒也[也]不存在是比较的问题啊，但是[是]如果是。,啊，但是我倒也不存在是比较的问题啊，但是如果是。,但是我倒也不存在是比较的问题但是如果是
12499,D0058_A,1050.8,1057.07,58.0,还有就是这个语音[语/r音]识别率上面的问题。,还有就是这个语音识别率上面的问题。,还有就是这个语音识别率上面的问题
10192,D0048_A,510.68,515.33,48.0,以及去[以及去]餐厅点菜。,以及去餐厅点菜。,以及去餐廳點菜
11501,D0054_A,156.14,165.82,54.0,就是嗯/i但是当时其实卡的也不是特别[卡的也不是特别]严重，就只是在某一个单词上面出现了一个重复。,就是但是当时其实卡的也不是特别严重，就只是在某一个单词上面出现了一个重复。,但是当时其实卡的也不是特别严重就只是在某一个单词上面出现了一个重复
7596,D0036_A,548.65,558.93,36.0,然后那个可能是我跟身边的人去交流过。更深入然后更接近我。内[内]心想法的一个时候。,然后那个可能是我跟身边的人去交流过。更深入然后更接近我。内心想法的一个时候。,然后那个可能是我跟身边的人去交流过更深入然后更接近我内心想法的一个时候
11500,D0054_A,139.42,155.46,54.0,嗯/i[嗯/i]但是就是嗯/i然后一个转折点是在我[是在我]嗯/i初二的时候，就是就突然有一次呃/i就是老师呃/i叫我起来读书的时候，就突然卡壳了一下。,但是就是然后一个转折点是在我初二的时候，就是就突然有一次就是老师叫我起来读书的时候，就突然卡壳了一下。,但是就是然后一个转折点是在我初二的时候就是就突然有一次就是老师叫我起来读书的时候就突然卡壳了一下
33,D0001_A,562.56,571.41,1.0,嗯/i我不会抓着这点小细节，所以[所以]总体还是可以放心的，对。,我不会抓着这点小细节，所以总体还是可以放心的，对。,嗯 我不会抓着这点小细节所以所以总体还是可以放心的
6332,D0031_A,852.26,857.87,31.0,啊/i会不定时的开展一些线下的口吃者的一些活动。,会不定时的开展一些线下的口吃者的一些活动。,会不定时的开展一些线下的口吃者的一些活动
6653,D0032_A,611.88,620.97,32.0,爆破音啊，什么爸爸或者什么什么就是有[有]一个爆破音在/p，就是第一个字的话可能会比较[比较]难发，就是我小的时候。,爆破音啊，什么爸爸或者什么什么就是有一个爆破音在，就是第一个字的话可能会比较难发，就是我小的时候。,爆破音啊什么爸爸或者什么什么就是有有一个爆破音在就是第一个字的话可能会比较比较难发就是我小的时候
13279,D0062_A,1110.81,1123.17,62.0,临场发挥的时候就会显得特别卡顿，然后我就是有的时候特别流畅，一句<overlap>都不会卡，然后<overlap>有的时候就十个字就要卡十/p下，就是那个<overlap>。,临场发挥的时候就会显得特别卡顿，然后我就是有的时候特别流畅，一句<overlap>都不会卡，然后<overlap>有的时候就十个字就要卡十下，就是那个<overlap>。,临场发挥的时候就会显得特别卡顿然后我就是有的时候特别流畅一句都不会卡然后有的时候就十个字就要卡十下就很累了
8765,D0041_A,218.16,230.47,41.0,嗯/i在北方主要是这种心脑血管疾病比较多，然后像南方嘛，它因为气候阴冷潮湿，就是关节炎的病人会相嗯/i相[相]对多一些。,在北方主要是这种心脑血管疾病比较多，然后像南方嘛，它因为气候阴冷潮湿，就是关节炎的病人会相相对多一些。,在北方主要是这种吸脑血管疾病比较多像南方因为气候阴冷潮湿就是关节炎的病人会相对多一些
6703,D0032_A,1071.67,1080.78,32.0,就说跟他交流啊，包括跟他[他]同时在场的时候还有一些其他的同事啊，包括一些交流啊情况下，可能我的状态就更好了，嗯。,就说跟他交流啊，包括跟他同时在场的时候还有一些其他的同事啊，包括一些交流啊情况下，可能我的状态就更好了，嗯。,就是跟他交流啊包括跟他他同时在场的时候还有一些其他的同事啊包括一些交流了可能我的状态就更好了
743,D0004_A,1337.1,1347.19,4.0,她呃/i她的电[电]视剧还[还还还]是漫[漫]威的第[第]一部[第一部]电视剧。,她她的电视剧还是漫威的第一部电视剧。,他的電視劇還是漫威的第一部電視劇
13099,D0061_A,648.26,654.81,61.0,啊/i因为我觉得可能，这段时间，我一个人去走这些个路/p线。,因为我觉得可能，这段时间，我一个人去走这些个路线。,因为我觉得可能这段时间我一个人去走这些个路线
