,Filename,Start_time,End_time,Azure
0,D0001_A,2081.54,2109.65,我说出来就比较的需要时间啊，然后那个嗯识别的它的它就是它等你一会儿你那个话还没有说完的，还没有说出来的话，它就取消了，就是它默认为你什么都没说，或者说不要说了，它就那个取消了，所以就得再重新来。
1,D0001_A,790.13,796.58,电视剧。
2,D0001_A,1562.0835177752008,1586.22,这部剧是不怎么？
3,D0001_A,2016.78,2035.6735592632187,很很精准，对。
4,D0001_A,1682.67,1709.11,一个，那个是，嗯，叫。
5,D0001_A,2045.32,2052.24,自动覆盖我的就是，呃，微信啊，还有，呃。
6,D0001_A,1441.22,1444.4,背景女二号。
7,D0001_A,104.09,105.68,我是。
8,D0001_A,958.86,966.41,这部剧的时候我就很开心因为，嗯，就熟悉的画面又。
9,D0001_A,363.19,380.22,这是，嗯，不会说，呃，特意来来模仿我的这个卡壳的事情，因为他们不会想到我是。
10,D0001_A,989.88,998.53,嗯，评分不是很高，但是呢，就是，呃，呃，是。
11,D0001_A,354.94,361.3,可他们现在还还没有。
12,D0001_A,1944.74,1963.3479831152356,有我经常。
13,D0001_A,679.35,687.4,因为，呃，说话有点就是。
14,D0001_A,1110.4,1135.6,嗯，呃，我看了电影之后我就发现他其实。
15,D0001_A,1364.76,1367.11,嗯，你说。
16,D0001_A,2148.188753355469,2165.42,软件，它还没识别到我的音，因为我卡在那里了然后它嗯嗯就时间太久了就没识别出来，所以我需要再再重新按一下。
17,D0001_A,389.5,395.72,那那，所以那个。
18,D0001_A,1944.74,1963.347983115236,有我经常。
19,D0001_A,885.4,895.08,我无意间就找到了这个剧然后发现是我看过的就会。
20,D0001_A,494.43,513.43,呃，但是呢，嗯，不会说就抓着我的这个卡的问题，然后说，哦，不信任啊，呃，或者来质问的。
21,D0001_A,895.4308175970514,906.7,想要再去看对，嗯？
22,D0001_A,705.62,724.18,希望家长是默认为我是那种正常的。
23,D0001_A,1530.88,1539.44,都是在啊，嗯，优柔寡断，他做决策的时候都是。
24,D0001_A,626.2390282976758,640.58,
25,D0001_A,1168.51,1169.78,很兴奋。
26,D0001_A,530.5296333864719,537.88,
27,D0001_A,238.68,254.12,呃我。
28,D0001_A,1329.7075885107724,1350.57,反正就是两部剧的合合成的感觉，所以他。
29,D0001_A,254.41,274.32,然后就。
30,D0001_A,291.95,311.96,那孩子就会那个兴趣就突然间就被我嗯，就是。
31,D0001_A,435.29,449.05,再开家长会之前呢，我会做这个充足的就是，呃，要讲什么内容，我会先先准备好，然后先自己。
32,D0001_A,475.56,492.61,听我讲的时候，我也肯定会出现。
33,D0001_A,1422.53,1437.54,喜欢是好好。
34,D0001_A,431.07,431.78,
35,D0001_A,136.61,141.33,伴随我到现在那，嗯？
36,D0001_A,1222.9396967032387,1253.15,
37,D0001_A,2166.03,2183.31,这种就就比较。
38,D0001_A,1795.66,1824.32,称霸武林，然后去那个抢一把宝剑的的事情就对了。其实他情节，他的他的豆瓣，他的豆瓣评分不怎么高，对，只是因为是童年看过的剧，所以就就，呃。
39,D0001_A,450.58,465.61,就，呃，背词的那些就。
40,D0001_A,1769.75,1792.77,把功劳就就送给你的那种嗯，然后就是。
41,D0001_A,1735.81,1753.26,秒杀了。拿二号之后他就把那把剑就就给了那个。
42,D0001_A,1995.3931229521988,2016.56,快很多嗯，嗯嗯。
43,D0001_A,540.34,561.87,嗯，不会专门抓着这个小很小的毛病，然后来就是来放大，因为就我在其他方面做的。
