,Filename,Start_time,End_time,WeNet
0,D0001_A,2081.54,2109.65,我说出来就比较地需要时间然后那个识别的他的不就是他等你一会你那个话还没有说完的还没有说出来的话他就取消了不就是他默认为您什么都没说或者说不要说了他就那个取消了所以就得再同意了
1,D0001_A,790.13,796.58,第四句有我我说的话
2,D0001_A,1562.0835177752008,1586.22,这部剧是不怎么评分是不怎么好的就因为评评论区的那那些人他们都在说拿到号做好惨的那个就那么勤奋但是就是一直输给男主角
3,D0001_A,2016.78,2035.6735592632187,很精准对讯飞语音还是讯飞助手来着就我记得他是叫讯飞我之前就是他
4,D0001_A,1682.67,1709.11,一个个是叫啥来的我忘了就是出现了这一个人然后呢他他就射了一把剑然后就就把那个拿二号给长杀了就是可以看得出来拿二号一路上了
5,D0001_A,2045.32,2052.24,自动覆盖我的就是微信啊还有
6,D0001_A,1441.22,1444.4,背影女二号
7,D0001_A,104.09,105.68,我是
8,D0001_A,958.86,966.41,第二部剧的时候我就很开心因为就熟悉的画面
9,D0001_A,363.19,380.22,就是不会说特意来来模仿我的这个卡壳的事情因为他们不会想到我是讲话有问题
10,D0001_A,989.88,998.53,评分不是很高但是呢就是一次
11,D0001_A,354.94,361.3,他们现在还还没有就是
12,D0001_A,1944.74,1963.3479831152356,有我经常使使用嗯因为我比较懒然后就总是练出来的我们之前在学校的时候那个在在
13,D0001_A,679.35,687.4,因为说话有点就是平时的坎坷这个是
14,D0001_A,1110.4,1135.6,嗯嗯我看了电影之后我就发现他其实他拍的不是那么的就是好看但是呢嗯我是抱着嗯情怀的那个去去看的
15,D0001_A,1364.76,1367.11,嗯你说
16,D0001_A,2148.188753355469,2165.42,嗯软件它还没识别但我的因为我卡在那里了然后他就时间太久了就没识别出来所以我需要再再重新按一下
17,D0001_A,389.5,395.72,娜娜所以那个模仿还是暂时不会的
18,D0001_A,1944.74,1963.347983115236,有我经常使使用嗯因为我比较懒然后就总是练出来的我们之前在学校的时候那个在在
19,D0001_A,885.4,895.08,我无意间就找到你这个剧然后发现是我看过的就会
20,D0001_A,494.43,513.43,但是不会说就抓着我的这个卡的问题然后说不信任或者来质问的这种就是我觉得家长的
21,D0001_A,895.4308175970514,906.7,想要再去看对那这个剧嗯我
22,D0001_A,705.62,724.18,希望家长是默认为我是那种正常的卡壳然后不要把我想到说我是口吃的这个角度去想对
23,D0001_A,1530.88,1539.44,都是在优柔寡断他做决策的时候都是
24,D0001_A,626.2390282976758,640.58,去去跟家长说我有口吃的问题那么有的家长可能能理解
25,D0001_A,1168.51,1169.78,喊心笨
26,D0001_A,530.5296333864719,537.88,但但是他们
27,D0001_A,238.68,254.12,呃我在工作的时候就就我讲课讲着讲着就会卡了
28,D0001_A,1329.7075885107724,1350.57,好反正就是两部剧的和合成的感觉所以他他是致敬就是周星驰的那部电影吧对有这个感觉
29,D0001_A,254.41,274.32,然后就孩子就会看着我他们就会觉得一道是你怎么卡了就就怎么不说话了
