,Unnamed: 0,Filename,Start_time,End_time,Wav2vec_cleaned
0,0,D0001_A,2081.54,2109.65,我说出了就比较需要时间然后那识别了他的不就是他的一会那个话还没说完的描说出来的话它就取消不就是他默认为音什么都没说或者说不要说了他就那个取消了所以就被在同了
1,1,D0001_A,790.13,796.58,四治表我尔说的法
2,2,D0001_A,1562.0835177752008,1586.22,这部剧是不怎么评中不怎么好的就而论区的那那县人他们都在说拿号作朝惨的那个就那么请奋但是就是了一指输给满主角
3,3,D0001_A,2016.78,2035.6735592632187,很金转和训非女婴还是讯本一助手来的就就我记的他是叫迅菲我之前甲就是他
4,4,D0001_A,1682.67,1709.11,一个那个是你较扎来的果望了是出现了与一个人然后了他他就这了一把健然后就交瓦那个拿二奥给早萨尔了就是可看得出来拿号一路上
5,5,D0001_A,2045.32,2052.24,自动的覆盖我的就是徽西那还有了般
6,6,D0001_A,1441.22,1444.4,贝于女二号
7,7,D0001_A,104.09,105.68,我讯
8,8,D0001_A,958.86,966.41,在部去的时候我就很开心因类和就熟悉的画面给票了
9,9,D0001_A,363.19,380.22,这是不会说破买来模法我的这个塔的事情因为他们不会想到我是讲话有问题
10,10,D0001_A,989.88,998.53,廷风音不是很高但是那就是俄的系了
11,11,D0001_A,354.94,361.3,他们现在还还没这是
12,12,D0001_A,1944.74,1963.347983115236,我经常事使用因为我比较懒然后就总是练了出来的我们之前在学校的时候那个再在
13,13,D0001_A,679.35,687.4,因为而说话有点就是平时要房这个事
14,14,D0001_A,1110.4,1135.6,过看了电影之后我就发现他其实你拍的不是那么的就好看但是我是抱着的秦怀的那个去去看的
15,15,D0001_A,1364.76,1367.11,米萨
16,16,D0001_A,2148.188753355469,2165.42,日软件他还没识别道我的丁诺卡在那里了然后他就时间他久了就没识别出来随我需要在再重建他一下
17,17,D0001_A,389.5,395.72,那那所以那个模仿还是家是不会的
18,18,D0001_A,1944.74,1963.347983115236,我经常事使用因为我比较懒然后就总是练了出来的我们之前在学校的时候那个再在
19,19,D0001_A,885.4,895.08,我无意间就早大了这个冷剧然后发现是我看过的旧会
20,20,D0001_A,494.43,513.43,而但是呢不会说就抓的个法的问题然后说不幸任嘛或者来吃问的这容就是我觉得加长哥
21,21,D0001_A,895.4308175970514,906.7,想要再去看五那这个距沃尔
22,22,D0001_A,705.62,724.18,希望家长却末认为不是那种正常的卡壳然后不要把我想到做而我是口刺的这个角度去想对
23,23,D0001_A,1530.88,1539.44,都是在你牛容广办她做决策的时候都是
24,24,D0001_A,626.2390282976758,640.58,去格恩家甲说我遥口吃的问题吗有的家长可能能理解
25,25,D0001_A,1168.51,1169.78,很清奋
26,26,D0001_A,530.5296333864719,537.88,巴是他们
27,27,D0001_A,238.68,254.12,而我在工作的时候就就国甲课讲着讲着就会了
28,28,D0001_A,1329.7075885107724,1350.57,反个就是两部剧的和和成顿大学所以他它是赤敬这是朱星词的那部电影把有所这的大角
29,29,D0001_A,254.41,274.32,然后就孩子就会看着我他他们就会觉了来主导施你怎么就就怎么不说话了
30,30,D0001_A,291.95,311.96,那孩子就会那个兴趣又突然间就被我就是突间就踪过了对那种感觉那孩子他他会觉得好奇
31,31,D0001_A,435.29,449.05,在开家长会之前的我会做这个充足的就是的要奖什么那种我会先先准备好然号先自己
32,32,D0001_A,475.56,492.61,听我讲的时候我也肯定会出现些许的卡的卡壳这项患那他们他们会听到
33,33,D0001_A,1422.53,1437.54,喜欢和女主角的尼正钟琴然后号了就
34,34,D0001_A,431.07,431.78,
35,35,D0001_A,136.61,141.33,霸许我道了现在那
36,36,D0001_A,1222.9396967032387,1253.15,得好的有理面情间的有精彩的延怎有不主的叫总体海行
37,37,D0001_A,2166.03,2183.31,这种就助比较马板因为他有时间等你的了你你在那几鸟内还没有说出来的话它就取消了的足会出现这种情况
38,38,D0001_A,1795.66,1824.32,参那五然后出那个抢一把保将的的射情中对了其实她情节它的的斗棒他的豆半平分不怎么高的只是因为是同年看过的剧所以就就而不在意那个评分在役的是那个情怀一对
39,39,D0001_A,450.58,465.61,就而被瓷的那些就短相毒的很熟链手罗会减少在家长面前打了一个问题
40,40,D0001_A,1769.75,1792.77,公劳就就送给的那种们然后就是拿了们马女主角就就在一起玩后那个然他就就死了的他他大大就说就是能两个兰的去去为的那个
41,41,D0001_A,1735.81,1753.26,秒杀了女二号之后他就把那把建就就给了那个男一号就是给了男主角然后他叫我郭影上离去了所以收个
42,42,D0001_A,1995.3931229521988,2016.56,快很多这下的他他是香那哥逊飞牙我用这个用的最好的的自动识联就
43,43,D0001_A,540.34,561.87,不会专门抓着这个小很小的毛病然后来就是来放大因为就我在其他方面做的做的较好的话那么家长高汤拢多还是可以的就
44,44,D0001_A,184.69,203.96,面对孩子杀化们我会担心会不会孩子会模仿模仿大的一个口制
45,45,D0001_A,1915.62,1922.45,是那种我说话她石标文叫的那种吗
46,46,D0001_A,312.25,338.35,然后就可伦他也没在意太多把他也不会说一下子就能想到奥两老是结巴的是卡科是那个会口词的他们一下子不会想到那个就此这他们会觉得好奇老师怎么突然讲的讲的就卡然拘偶
47,47,D0001_A,642.62,659.65,有的家长说不是那么有就是来了一钱那那些不能理解的家长餐他可能就会放但我这件事情
48,48,D0001_A,1045.06,1077.39,因为那些情节我都忘了然后就想重新回顾一下这些情节还有那就是重心看一下理面的那些的物他们他们的各种比掉精彩的画面我小时候有有印像的那家
49,49,D0001_A,514.82,529.36,而夸容度还是可以的就是他们能听得出来你这个老师说话会些许的有些词会些许的卡
50,50,D0001_A,813.88,814.78,日
51,51,D0001_A,819.98,825.68,我最近重心看的就是而
52,52,D0001_A,1548.94,1561.91,多楼寡断了了然后当生了他他以路了重装挂因为克兰
53,53,D0001_A,970.0,989.16,又出现了又作法佛回到了那个同年的时候静存的享受了看电视剧的那线池光内正部剧了他
54,54,D0001_A,1160.35,1165.06,皮幕前那就会很
55,55,D0001_A,1658.3347339994368,1678.34,拉把建筑就被拿二号抢了他这个反派就到最后的时候法害他他都会成功大是了就突然出现一个了
56,56,D0001_A,2148.188753355469,2165.42,日软件他还没识别道我的丁诺卡在那里了然后他就时间他久了就没识别出来随我需要在再重建他一下
57,57,D0001_A,1497.23,1497.97,恩
58,58,D0001_A,1402.99,1421.88,武宫的然后呢就令遇到了的司一个诗斯鲁教会他武宫然后呢就和而
59,59,D0001_A,274.39,291.69,特别是我给他们讲故事的时候别说讲到大圭兰来了然后这个大字就是我的拿发人然后就会卡坐
60,60,D0001_A,119.13,124.49,是从小就有口吃
61,61,D0001_A,1633.36,1639.71,母女他它在子行任录的时候也是很女
62,62,D0001_A,1323.93,1329.41,评论区那里看到说是叫其他名字的
63,63,D0001_A,106.3,119.12,兹森的考考兹汉者
64,64,D0001_A,2128.9006469577453,2147.78,巴么在书的时候我这个很开头的拿关一就就需要时间说出来后那个儿
65,65,D0001_A,95.58,102.83,我是金阳市来
66,66,D0001_A,562.56,571.41,我不会主要的这点小细节所以所以总体还是可以放心的
67,67,D0001_A,1463.8418034809265,1491.84,碑吹就是自己很努力但是呢就是没有那种主角观晃所以他努一号也也不喜欢他他他对李号服号对
68,68,D0001_A,949.53,954.3,脑还然后你我在重新看到
69,69,D0001_A,1396.89,1400.33,没欧
70,70,D0001_A,341.24,352.8,需要拱几母钟然后次苹果才能接着娃下甲那他们饱返的话现在还不会
71,71,D0001_A,755.94,757.41,杜
72,72,D0001_A,380.28,389.26,所以所以就是说它们没有这个机弟一时来去模反我等
73,73,D0001_A,860.15,868.18,前两天妈康姆部就是叫往
74,74,D0001_A,1002.25,1014.36,而里面的情节我认为不重要而它重要的是是就是拿把女带回到
75,75,D0001_A,909.22,920.95,对他的印象就是停留藏一外我小时候看过然我脑海里
76,76,D0001_A,1965.3,1985.36,拼皮上教作院的嘛然后那个这一内容特别多字就就爸别我就的这到都是命念出来的后后来
77,77,D0001_A,174.75,181.51,然后我学的是的装甲是
78,78,D0001_A,869.27,883.96,摩正生旗的个是我李才小学的时候看的了
79,79,D0001_A,2036.03,2043.15,它是自动居住我之下安装在我的手机上来后它的就
80,80,D0001_A,923.77,946.89,停留的印象就是一些个大豆的那些画面我就很就是卖吉的熟机的人物就子普在我拿奥里
81,81,D0001_A,1709.3999118967,1735.46,很辛苦终于就是拿那那个认几结果在大结局的时候就出生了另一个人然后中此前就秒杀了他所以所以就是然后那那个人他又
82,82,D0001_A,1080.6181796879375,1110.2,画面北科然后最近了这天了我还看了一部就是斯小龙他那个干赛印的腊那部电影叫学西神坦对
83,83,D0001_A,204.82,212.44,这的就是我的自罗介上信谢
84,84,D0001_A,1507.41,1530.3,女号是喜欢那个男主角然后那马一主角就是满那个玛二号臣本与努力的那种就是的他执行任务啊什么的作
85,85,D0001_A,1170.08385901753,1178.72,早以就去看了他新拍的这个
86,86,D0001_A,150.85,154.01,长波尔尔
87,87,D0001_A,1586.35,1605.56,然后面就是他们去抢抢一把抢一把就是容
88,88,D0001_A,1542.17,1542.91,拥
89,89,D0001_A,1207.5915605233358,1222.36,西披母充的他们来看的所以就他的演演觉的
90,90,D0001_A,1499.1137582844822,1506.11,拉谢尔他
91,91,D0001_A,1492.1707139092823,1495.63,康吉号
92,92,D0001_A,1376.54,1394.56,就是贾拉个主角然后一路开开挂和他从振先开始吃了
